CPU;Latency;IOPS
% Processor Time;Avg. Disk sec/Transfer;Disk Transfers/sec
73.43621826;0.001126203;87945.24219
73.51180267;0.001118941;88262.89844
73.68734741;0.001125372;87880.30469
73.64833069;0.001114334;88495.51563
74.21398163;0.001117428;88247.85938
73.90189362;0.001123562;88045.77344
73.28039551;0.001158884;86538.82031
75.13072205;0.001116319;88251.89063
73.55079651;0.001137003;87393.64063
74.05792236;0.001113996;88581.86719
72.71205902;0.001115801;88320.65625
72.6730423;0.00111571;88391.75
74.05938721;0.001122935;88116.44531
73.37523651;0.001117019;88346.88281
74.31148529;0.00111866;88098.70313
72.96561432;0.001119936;88088.40625
73.37775421;0.00110961;88494.91406
74.29197693;0.001110608;88876.89063
73.728302;0.001116027;88320.07813
72.86808777;0.001122763;88171.67969
73.55077362;0.001123755;87667.41406
73.06313324;0.001120724;87863.23438
73.84335327;0.001109794;88601.76563
73.84334564;0.001108939;88860.64063
74.85783386;0.001117544;88160.85156
73.84334564;0.001146059;87166.19531
75.42327118;0.001111204;88509.32813
74.42850494;0.001115349;88461.79688
73.60928345;0.0011274;87974.5
73.70679474;0.001119574;87871.71094
72.57926178;0.001108801;88665.875
74.17493439;0.001116996;88212.28906
73.97987366;0.00112554;88046.29688
73.37520599;0.001126279;88057.82813
73.04361725;0.001116054;88121.09375
74.25409698;0.001115666;88341.71875
73.10507965;0.001114266;88429.69531
74.66255951;0.001113364;88754.23438
73.39471436;0.001113374;88331.05469
74.21392822;0.001114848;88422.73438
73.37520599;0.001121138;88067.25
73.57025146;0.001118165;88405.92188
73.18297577;0.001120271;88095.78906
73.60926056;0.001121525;88105.36719
73.02410126;0.001114522;88210.04688
74.46832275;0.001117771;88104.04688
73.84332275;0.001111265;88462.21875
73.35569;0.001112467;88461.10156
73.24150848;0.001128737;87721.1875
72.94619751;0.00113327;87592.72656
73.06320953;0.001143776;87261.19531
73.80441284;0.001120081;88231.79688
72.52399445;0.001136994;87330.33594
73.23875427;0.001129437;87675.26563
72.73513794;0.001130731;87496.45313
74.2725296;0.001116072;88269.34375
72.84864044;0.00111939;88360.57813
74.38954926;0.001121333;87838.61719
74.21521759;0.001124457;88026.28125
73.21922302;0.00113049;87645.36719
